created_at,tweet,sentiment,compound
2019-03-14 22:31,No Us-China Trade Talks for 2 Weeks Running Is Trump Preparing for an Ultimatum cryptonews cryptolife cryptocurrency tradingcrypto ethereum btc bitcoin blockchain crypto eth cryptocurrencynews CryptoNews cryptoinvestor cryptocurrencies f ,0.078,-0.296
2019-03-14 22:31,Bitcoin is going to essentially start to look like the reserve currency for digital currencies in general - fundstrat  ,0.128,0.3612
2019-03-14 22:31,More than 102 million millionaires in the USA now What if all of them market buy bitcoin  ,0.153,0.4404
2019-03-14 22:31,Initial Coin Offerings Best Practices And The Future Of Fundraising bitcoin blockchainflux ,0.276,0.6369
2019-03-14 22:31,I just want to buy Bitcoin sub $3k 💁 ♀,0.451,0.7506
2019-03-14 22:31,The best time to invest and profitable only in PrimeXCoin is ICO-sale Dont Forget More Information PrimeX ICO cryptocurrency Blockchain Binance Ethereum Bitcoin  ,0.382,0.8949
2019-03-14 22:31,Bragging so casually They think they are untouchableThe time of easy money will soon be over Bitcoin dressed as the grim reaper is coming for you ecb  ,0.15,0.0498
2019-03-14 22:31,A Singapore court has ruled crypto exchange Quoine liable for reversing trades for a total of 3092 bitcoin by market maker B2C2  ,0.0,0.0
2019-03-14 22:31,CryptoJimHalper First mistake That haircut Second Mistake Even looking at bitcoin ,0.348,-0.5859
2019-03-14 22:31,On the Bitcoin contracts delisting news shitcoins be like  ,0.238,0.3612
2019-03-14 22:31,Stellar XLM is Now Available as Collateral on YouHodlers Expanding FinTech Platform bitcoin business dollar banks money finance gold bitcoin cryptocurrency ethereum news blockchain ,0.0,0.0
2019-03-14 22:31,Bittrex International has cancelled the initial exchange offering IEO of the RAID token We apologize for the inconvenience but also wanted to provide a more fulsome explanation to our users bittrex exchange cryptocurrency bitcoin raidcoin BittrexExchange ,0.089,-0.2617
2019-03-14 22:31,We have just broadcast our first transmission using Blockstream Satellite Network Sharing the message of our upcoming Multi-Currency Light Wallet and one-click Lightning Swaps to the planet thanks to LightningNetwork payments blockchaintechnology bitcoin blocksat $XSN  ⚡,0.22,0.8625
2019-03-14 22:31,Bitcoins struggle for direction continues amid growing signs of a bull reversal in alternative cryptocurrencies reports godbole17 ,0.235,0.34
2019-03-14 22:31,European Central Bank thinks Bitcoin isnt money cause they cant print it  😂 😭,0.194,-0.0516
2019-03-14 22:31,XRP is faster than Bitcoin says Ran NeuNer after Anthony Pompliano praises BTC  ,0.221,0.5267
2019-03-14 22:31,TnOdu ProfFaustus BTC is not Bitcoin by the way dont confuse that please ,0.134,-0.0762
2019-03-14 22:31,SEC Chairman Highlights Investor Protection in Regard to Bitcoin ETF  ,0.0,0.0
2019-03-14 22:31,Tom Lee of Fundstrat Bitcoin Bulls to Return in 2019  ,0.0,0.0
2019-03-14 22:31,MrHodl derose slavefootjesus mre MatijaHribernik StopAndDecrypt mikeinspace alpacasw vakeraj rm0rf Th3Acist So is the argument that if the next soft fork for Bitcoin happens upon the base of a non-segwit based version because core or we all died off and not enough people wanted to keep segwit going then segwit transactions will no longer be valid Or what ,0.137,-0.8207
2019-03-14 22:31,derose CryptoLaughing slavefootjesus mre MrHodl MatijaHribernik StopAndDecrypt mikeinspace alpacasw vakeraj rm0rf Th3Acist Leadership is a continuum There are always leaders using bitcoin is following satoshi even though he currently has no input that we know of into the bitcoin project The better question is what kind of leaders do bitcoiners choose to be and follow ,0.051,0.1779
2019-03-14 22:31,Quoine Found Liable for Wrongfully Reversing BTC Trades in Singaporean First bitcoin bitcoinnews ethereum ripple litecoin crypto cryptocurrency cryptoupdate cryptocurrencynews blockchain ltc btc xrp eth ,0.0,0.0
2019-03-14 22:31,I just retweet this another time just in case ,0.0,0.0
2019-03-14 22:32,Bitcoin is Cheap Until April Well Never See Price at $3000 Again Trader urbitcoinwear bitcoin news  ,0.123,0.2732
2019-03-14 22:32,Long or short $Bitcoin movements with up to 100x Leverage at BitMEX 10% reduced fees below  🤑,0.238,0.3612
2019-03-14 22:32,Watch this little video it could change your life APLApollo currency to the moon  ,0.222,0.5719
2019-03-14 22:32,nghialeson Thanks for following nghialeson Come join our free Crypto signals group on Telegram - We provide some of the best Cryptocurrency trading signals to help to maximize profit bitcoin btc blockchain crypto cryptocurrency ,0.403,0.9531
2019-03-14 22:32,This year to celebrate International Womens Day we spotlight a WomanInTech whose shoulders we in the cryptosphere stand on today Cynthia Dwork The inventor of Proof-of-Work Dworks research led to adam3uss Hashcash which led to Satoshis Bitcoin Happy Womens Day  👩 💻 👩 🚀,0.15,0.8126
2019-03-14 22:32,I talk a lot about how crucial education is for people who dont know about Bitcoin But its even more crucial to teach store owners WHY they should accept $BTC as a payment option What are the benefits How do they get set up Why is it better than cash Time to teach  👌,0.325,0.9723
2019-03-14 22:32,Circles managing director in Asia leaves firm to focus on Bitcoin SVs survival - The Block Crypto  ,0.162,-0.4404
2019-03-14 22:32,According to one estimate a single Bitcoin transaction consumes 1200 times more energy than a non-cash transaction by the traditional banking industry  ,0.112,0.3384
2019-03-14 22:32,Circles managing director in Asia leaves firm to focus on Bitcoin SVs survival - The Block Crypto  ,0.162,-0.4404
2019-03-14 22:32,Bitcoin BTC Price Watch Upside Break Inevitable Above $3900 - newsBTC  ,0.0,0.0
